Sample in Buffer,Sample in Window,TRIGGER,mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_0_axis_tdata[63:0],mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_0_axis_tkeep[7:0],mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_0_axis_tuser,mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_0_axis_tvalid,mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_0_axis_tready,mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_0_axis_tlast,mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_1_axis_tdata[63:0],mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_1_axis_tkeep[7:0],mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_1_axis_tuser,mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_1_axis_tvalid,mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_1_axis_tlast,mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_2_axis_tdata[63:0],mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_2_axis_tkeep[7:0],mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_2_axis_tuser,mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_2_axis_tvalid,mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_2_axis_tready,mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_2_axis_tlast,mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_3_axis_tdata[63:0],mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_3_axis_tkeep[7:0],mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_3_axis_tuser,mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_3_axis_tvalid,mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_3_axis_tlast,Interface_(i6:s0)_(s_axis_tx_0_1)[2:0],Interface_(i6:s1)_(mac_phy_ch0_m_axis_rx)[2:0],Interface_(i6:s2)_(s_axis_tx_1_1)[2:0],Interface_(i6:s3)_(mac_phy_ch1_m_axis_rx)[2:0],T_Channel_(i6:s0)_(s_axis_tx_0_1)[2:0],T_Channel_(i6:s1)_(mac_phy_ch0_m_axis_rx)[2:0],T_Channel_(i6:s2)_(s_axis_tx_1_1)[2:0],T_Channel_(i6:s3)_(mac_phy_ch1_m_axis_rx)[2:0]
10,10,0,6b914f0011110000,ff,0,1,1,0,0000000000000000,00,0,0,0,aeeeaeeeaeeeaeee,ff,0,1,1,0,0000000000000000,00,0,0,0,"Active","Inactive","Active","Inactive","Stream Beat","No Streams","Stream Beat","No Streams"
11,11,0,6b916b916b916b91,ff,0,1,1,0,0000000000000000,00,0,0,0,aeeeaeeeaeeeaeee,ff,0,1,1,0,0000000000000000,00,0,0,0,"Active","Inactive","Active","Inactive","Stream Beat","No Streams","Stream Beat","No Streams"
12,12,0,6b916b916b916b91,ff,0,1,1,0,0000000000000000,00,0,0,0,aeeeaeeeaeeeaeee,ff,0,1,1,0,0000000000000000,00,0,0,0,"Active","Inactive","Active","Inactive","Stream Beat","No Streams","Stream Beat","No Streams"
13,13,0,6b916b916b916b91,ff,0,1,0,0,0000000000000000,00,0,0,0,aeeeaeeeaeeeaeee,ff,0,1,1,0,0000000000000000,00,0,0,0,"_","Inactive","Active","Inactive","_","No Streams","Stream Beat","No Streams"
14,14,0,6b916b916b916b91,ff,0,1,0,0,0000000000000000,00,0,0,0,aeeeaeeeaeeeaeee,ff,0,1,1,0,0000000000000000,00,0,0,0,"_","Inactive","Active","Inactive","_","No Streams","Stream Beat","No Streams"
15,15,0,6b916b916b916b91,ff,0,1,0,0,0000000000000000,00,0,0,0,aeeeaeeeaeeeaeee,ff,0,1,1,0,0000000000000000,00,0,0,0,"_","Inactive","Active","Inactive","_","No Streams","Stream Beat","No Streams"
16,16,0,6b916b916b916b91,ff,0,1,1,0,0000000000000000,00,0,0,0,aeeeaeeeaeeeaeee,ff,0,1,1,0,0000000000000000,00,0,0,0,"Active","Inactive","Active","Inactive","Stream Beat","No Streams","Stream Beat","No Streams"
17,17,0,6b916b916b916b91,ff,0,1,1,0,0000000000000000,00,0,0,0,aeeeaeeeaeeeaeee,ff,0,1,1,0,0000000000000000,00,0,0,0,"Active","Inactive","Active","Inactive","Stream Beat","No Streams","Stream Beat","No Streams"
18,18,0,6b916b916b916b91,ff,0,1,1,0,0000000000000000,00,0,0,0,aeeeaeeeaeeeaeee,ff,0,1,1,0,0000000000000000,00,0,0,0,"Active","Inactive","Active","Inactive","Stream Beat","No Streams","Stream Beat","No Streams"
19,19,0,6b916b916b916b91,ff,0,1,1,0,0000000000000000,00,0,0,0,aeeeaeeeaeeeaeee,ff,0,1,1,0,0000000000000000,00,0,0,0,"Active","Inactive","Active","Inactive","Stream Beat","No Streams","Stream Beat","No Streams"
20,20,0,6b916b916b916b91,ff,0,1,1,0,0000000000000000,00,0,0,0,aeeeaeeeaeeeaeee,ff,0,1,1,0,0000000000000000,00,0,0,0,"Active","Inactive","Active","Inactive","Stream Beat","No Streams","Stream Beat","No Streams"
21,21,0,6b916b916b916b91,ff,0,1,1,0,0000000000000000,00,0,0,0,aeeeaeeeaeeeaeee,ff,0,1,1,0,0000000000000000,00,0,0,0,"Active","Inactive","Active","Inactive","Stream Beat","No Streams","Stream Beat","No Streams"
22,22,0,6b916b916b916b91,ff,0,1,1,0,0000000000000000,00,0,0,0,aeeeaeeeaeeeaeee,ff,0,1,1,0,0000000000000000,00,0,0,0,"Active","Inactive","Active","Inactive","Stream Beat","No Streams","Stream Beat","No Streams"
23,23,0,6b916b916b916b91,1f,0,1,1,1,0000000000000000,00,0,0,0,aeeeaeeeaeeeaeee,ff,0,1,1,0,0000000000000000,00,0,0,0,"Active","Inactive","Active","Inactive","Last Stream","No Streams","Stream Beat","No Streams"
24,24,0,0000222200000000,ff,0,1,1,0,0000000000000000,00,0,0,0,aeeeaeeeaeeeaeee,ff,0,1,1,0,0000000000000000,00,0,0,0,"Active","Inactive","Active","Inactive","Stream Beat","No Streams","Stream Beat","No Streams"
25,25,0,6b924f0011110000,ff,0,1,1,0,0000000000000000,00,0,0,0,aeeeaeeeaeeeaeee,07,0,1,1,1,0000000000000000,00,0,0,0,"Active","Inactive","Active","Inactive","Stream Beat","No Streams","Last Stream","No Streams"
26,26,0,6b926b926b926b92,ff,0,1,1,0,0000000000000000,00,0,0,0,0000222200000000,ff,0,1,1,0,0000000000000000,00,0,0,0,"Active","Inactive","Active","Inactive","Stream Beat","No Streams","Stream Beat","No Streams"
27,27,0,6b926b926b926b92,ff,0,1,1,0,0000000000000000,00,0,0,0,aeef7d0011110000,ff,0,1,1,0,0000000000000000,00,0,0,0,"Active","Inactive","Active","Inactive","Stream Beat","No Streams","Stream Beat","No Streams"
28,28,0,6b926b926b926b92,ff,0,1,0,0,0000000000000000,00,0,0,0,aeefaeefaeefaeef,ff,0,1,1,0,0000000000000000,00,0,0,0,"_","Inactive","Active","Inactive","_","No Streams","Stream Beat","No Streams"
29,29,0,6b926b926b926b92,ff,0,1,0,0,0000000000000000,00,0,0,0,aeefaeefaeefaeef,ff,0,1,1,0,0000000000000000,00,0,0,0,"_","Inactive","Active","Inactive","_","No Streams","Stream Beat","No Streams"
30,30,0,6b926b926b926b92,ff,0,1,0,0,0000000000000000,00,0,0,0,aeefaeefaeefaeef,ff,0,1,1,0,0000000000000000,00,0,0,0,"_","Inactive","Active","Inactive","_","No Streams","Stream Beat","No Streams"
31,31,0,6b926b926b926b92,ff,0,1,1,0,0000000000000000,00,0,0,0,aeefaeefaeefaeef,ff,0,1,1,0,0000000000000000,00,0,0,0,"Active","Inactive","Active","Inactive","Stream Beat","No Streams","Stream Beat","No Streams"
32,32,0,6b926b926b926b92,ff,0,1,1,0,0000000000000000,00,0,0,0,aeefaeefaeefaeef,ff,0,1,1,0,0000000000000000,00,0,0,0,"Active","Inactive","Active","Inactive","Stream Beat","No Streams","Stream Beat","No Streams"
33,33,0,6b926b926b926b92,ff,0,1,1,0,0000000000000000,00,0,0,0,aeefaeefaeefaeef,ff,0,1,1,0,0000000000000000,00,0,0,0,"Active","Inactive","Active","Inactive","Stream Beat","No Streams","Stream Beat","No Streams"
34,34,0,6b926b926b926b92,ff,0,1,1,0,0000000000000000,00,0,0,0,aeefaeefaeefaeef,ff,0,1,1,0,0000000000000000,00,0,0,0,"Active","Inactive","Active","Inactive","Stream Beat","No Streams","Stream Beat","No Streams"
35,35,0,6b926b926b926b92,ff,0,1,1,0,0000000000000000,00,0,0,0,aeefaeefaeefaeef,ff,0,1,1,0,0000000000000000,00,0,0,0,"Active","Inactive","Active","Inactive","Stream Beat","No Streams","Stream Beat","No Streams"
36,36,0,6b926b926b926b92,ff,0,1,1,0,0000000000000000,00,0,0,0,aeefaeefaeefaeef,ff,0,1,1,0,0000000000000000,00,0,0,0,"Active","Inactive","Active","Inactive","Stream Beat","No Streams","Stream Beat","No Streams"
37,37,0,6b926b926b926b92,ff,0,1,1,0,0000000000000000,00,0,0,0,aeefaeefaeefaeef,ff,0,1,1,0,0000000000000000,00,0,0,0,"Active","Inactive","Active","Inactive","Stream Beat","No Streams","Stream Beat","No Streams"
38,38,0,6b926b926b926b92,1f,0,1,1,1,0000000000000000,00,0,0,0,aeefaeefaeefaeef,ff,0,1,1,0,0000000000000000,00,0,0,0,"Active","Inactive","Active","Inactive","Last Stream","No Streams","Stream Beat","No Streams"
39,39,0,0000222200000000,ff,0,1,1,0,0000000000000000,00,0,0,0,aeefaeefaeefaeef,ff,0,1,1,0,0000000000000000,00,0,0,0,"Active","Inactive","Active","Inactive","Stream Beat","No Streams","Stream Beat","No Streams"
40,40,0,6b934f0011110000,ff,0,1,1,0,0000000000000000,00,0,0,0,aeefaeefaeefaeef,ff,0,1,1,0,0000000000000000,00,0,0,0,"Active","Inactive","Active","Inactive","Stream Beat","No Streams","Stream Beat","No Streams"
41,41,0,6b936b936b936b93,ff,0,1,1,0,0000000000000000,00,0,0,0,aeefaeefaeefaeef,ff,0,1,1,0,0000000000000000,00,0,0,0,"Active","Inactive","Active","Inactive","Stream Beat","No Streams","Stream Beat","No Streams"
42,42,0,6b936b936b936b93,ff,0,1,1,0,0000000000000000,00,0,0,0,aeefaeefaeefaeef,ff,0,1,1,0,0000000000000000,00,0,0,0,"Active","Inactive","Active","Inactive","Stream Beat","No Streams","Stream Beat","No Streams"
43,43,0,6b936b936b936b93,ff,0,1,0,0,0000000000000000,00,0,0,0,aeefaeefaeefaeef,07,0,1,1,1,0000000000000000,00,0,0,0,"_","Inactive","Active","Inactive","_","No Streams","Last Stream","No Streams"
44,44,0,6b936b936b936b93,ff,0,1,0,0,0000000000000000,00,0,0,0,0000222200000000,ff,0,1,1,0,0000000000000000,00,0,0,0,"_","Inactive","Active","Inactive","_","No Streams","Stream Beat","No Streams"
45,45,0,6b936b936b936b93,ff,0,1,0,0,0000000000000000,00,0,0,0,aef07d0011110000,ff,0,1,1,0,0000000000000000,00,0,0,0,"_","Inactive","Active","Inactive","_","No Streams","Stream Beat","No Streams"
46,46,0,6b936b936b936b93,ff,0,1,1,0,0000000000000000,00,0,0,0,aef0aef0aef0aef0,ff,0,1,1,0,0000000000000000,00,0,0,0,"Active","Inactive","Active","Inactive","Stream Beat","No Streams","Stream Beat","No Streams"
47,47,0,6b936b936b936b93,ff,0,1,1,0,0000000000000000,00,0,0,0,aef0aef0aef0aef0,ff,0,1,1,0,0000000000000000,00,0,0,0,"Active","Inactive","Active","Inactive","Stream Beat","No Streams","Stream Beat","No Streams"
48,48,0,6b936b936b936b93,ff,0,1,1,0,0000000000000000,00,0,0,0,aef0aef0aef0aef0,ff,0,1,1,0,0000000000000000,00,0,0,0,"Active","Inactive","Active","Inactive","Stream Beat","No Streams","Stream Beat","No Streams"
49,49,0,6b936b936b936b93,ff,0,1,1,0,0000000000000000,00,0,0,0,aef0aef0aef0aef0,ff,0,1,1,0,0000000000000000,00,0,0,0,"Active","Inactive","Active","Inactive","Stream Beat","No Streams","Stream Beat","No Streams"
50,50,0,6b936b936b936b93,ff,0,1,1,0,0000000000000000,00,0,0,0,aef0aef0aef0aef0,ff,0,1,1,0,0000000000000000,00,0,0,0,"Active","Inactive","Active","Inactive","Stream Beat","No Streams","Stream Beat","No Streams"
51,51,0,6b936b936b936b93,ff,0,1,1,0,0000000000000000,00,0,0,0,aef0aef0aef0aef0,ff,0,1,1,0,0000000000000000,00,0,0,0,"Active","Inactive","Active","Inactive","Stream Beat","No Streams","Stream Beat","No Streams"
52,52,0,6b936b936b936b93,ff,0,1,1,0,0000000000000000,00,0,0,0,aef0aef0aef0aef0,ff,0,1,1,0,0000000000000000,00,0,0,0,"Active","Inactive","Active","Inactive","Stream Beat","No Streams","Stream Beat","No Streams"
53,53,0,6b936b936b936b93,1f,0,1,1,1,0000000000000000,00,0,0,0,aef0aef0aef0aef0,ff,0,1,1,0,0000000000000000,00,0,0,0,"Active","Inactive","Active","Inactive","Last Stream","No Streams","Stream Beat","No Streams"
54,54,0,0000222200000000,ff,0,1,1,0,0000000000000000,00,0,0,0,aef0aef0aef0aef0,ff,0,1,1,0,0000000000000000,00,0,0,0,"Active","Inactive","Active","Inactive","Stream Beat","No Streams","Stream Beat","No Streams"
55,55,0,6b944f0011110000,ff,0,1,1,0,0000000000000000,00,0,0,0,aef0aef0aef0aef0,ff,0,1,1,0,0000000000000000,00,0,0,0,"Active","Inactive","Active","Inactive","Stream Beat","No Streams","Stream Beat","No Streams"
56,56,0,6b946b946b946b94,ff,0,1,1,0,0000000000000000,00,0,0,0,aef0aef0aef0aef0,ff,0,1,1,0,0000000000000000,00,0,0,0,"Active","Inactive","Active","Inactive","Stream Beat","No Streams","Stream Beat","No Streams"
57,57,0,6b946b946b946b94,ff,0,1,1,0,0000000000000000,00,0,0,0,aef0aef0aef0aef0,ff,0,1,1,0,0000000000000000,00,0,0,0,"Active","Inactive","Active","Inactive","Stream Beat","No Streams","Stream Beat","No Streams"
58,58,0,6b946b946b946b94,ff,0,1,0,0,0000000000000000,00,0,0,0,aef0aef0aef0aef0,ff,0,1,1,0,0000000000000000,00,0,0,0,"_","Inactive","Active","Inactive","_","No Streams","Stream Beat","No Streams"
59,59,0,6b946b946b946b94,ff,0,1,0,0,0000000000000000,00,0,0,0,aef0aef0aef0aef0,ff,0,1,1,0,0000000000000000,00,0,0,0,"_","Inactive","Active","Inactive","_","No Streams","Stream Beat","No Streams"
60,60,0,6b946b946b946b94,ff,0,1,0,0,0000000000000000,00,0,0,0,aef0aef0aef0aef0,ff,0,1,1,0,0000000000000000,00,0,0,0,"_","Inactive","Active","Inactive","_","No Streams","Stream Beat","No Streams"
61,61,0,6b946b946b946b94,ff,0,1,1,0,0000000000000000,00,0,0,0,aef0aef0aef0aef0,07,0,1,1,1,0000000000000000,00,0,0,0,"Active","Inactive","Active","Inactive","Stream Beat","No Streams","Last Stream","No Streams"
62,62,0,6b946b946b946b94,ff,0,1,1,0,0000000000000000,00,0,0,0,0000222200000000,ff,0,1,1,0,0000000000000000,00,0,0,0,"Active","Inactive","Active","Inactive","Stream Beat","No Streams","Stream Beat","No Streams"
63,63,0,6b946b946b946b94,ff,0,1,1,0,0000000000000000,00,0,0,0,aef17d0011110000,ff,0,1,1,0,0000000000000000,00,0,0,0,"Active","Inactive","Active","Inactive","Stream Beat","No Streams","Stream Beat","No Streams"
64,64,0,6b946b946b946b94,ff,0,1,1,0,0000000000000000,00,0,0,0,aef1aef1aef1aef1,ff,0,1,1,0,0000000000000000,00,0,0,0,"Active","Inactive","Active","Inactive","Stream Beat","No Streams","Stream Beat","No Streams"
65,65,0,6b946b946b946b94,ff,0,1,1,0,0000000000000000,00,0,0,0,aef1aef1aef1aef1,ff,0,1,1,0,0000000000000000,00,0,0,0,"Active","Inactive","Active","Inactive","Stream Beat","No Streams","Stream Beat","No Streams"
66,66,0,6b946b946b946b94,ff,0,1,1,0,0000000000000000,00,0,0,0,aef1aef1aef1aef1,ff,0,1,1,0,0000000000000000,00,0,0,0,"Active","Inactive","Active","Inactive","Stream Beat","No Streams","Stream Beat","No Streams"
67,67,0,6b946b946b946b94,ff,0,1,1,0,0000000000000000,00,0,0,0,aef1aef1aef1aef1,ff,0,1,1,0,0000000000000000,00,0,0,0,"Active","Inactive","Active","Inactive","Stream Beat","No Streams","Stream Beat","No Streams"
68,68,0,6b946b946b946b94,1f,0,1,1,1,0000000000000000,00,0,0,0,aef1aef1aef1aef1,ff,0,1,1,0,0000000000000000,00,0,0,0,"Active","Inactive","Active","Inactive","Last Stream","No Streams","Stream Beat","No Streams"
69,69,0,0000222200000000,ff,0,1,1,0,0000000000000000,00,0,0,0,aef1aef1aef1aef1,ff,0,1,1,0,0000000000000000,00,0,0,0,"Active","Inactive","Active","Inactive","Stream Beat","No Streams","Stream Beat","No Streams"
70,70,0,6b954f0011110000,ff,0,1,1,0,0000000000000000,00,0,0,0,aef1aef1aef1aef1,ff,0,1,1,0,0000000000000000,00,0,0,0,"Active","Inactive","Active","Inactive","Stream Beat","No Streams","Stream Beat","No Streams"
71,71,0,6b956b956b956b95,ff,0,1,1,0,0000000000000000,00,0,0,0,aef1aef1aef1aef1,ff,0,1,1,0,0000000000000000,00,0,0,0,"Active","Inactive","Active","Inactive","Stream Beat","No Streams","Stream Beat","No Streams"
72,72,0,6b956b956b956b95,ff,0,1,1,0,0000000000000000,00,0,0,0,aef1aef1aef1aef1,ff,0,1,1,0,0000000000000000,00,0,0,0,"Active","Inactive","Active","Inactive","Stream Beat","No Streams","Stream Beat","No Streams"
73,73,0,6b956b956b956b95,ff,0,1,0,0,0000000000000000,00,0,0,0,aef1aef1aef1aef1,ff,0,1,1,0,0000000000000000,00,0,0,0,"_","Inactive","Active","Inactive","_","No Streams","Stream Beat","No Streams"
74,74,0,6b956b956b956b95,ff,0,1,0,0,0000000000000000,00,0,0,0,aef1aef1aef1aef1,ff,0,1,1,0,0000000000000000,00,0,0,0,"_","Inactive","Active","Inactive","_","No Streams","Stream Beat","No Streams"
75,75,0,6b956b956b956b95,ff,0,1,0,0,0000000000000000,00,0,0,0,aef1aef1aef1aef1,ff,0,1,1,0,0000000000000000,00,0,0,0,"_","Inactive","Active","Inactive","_","No Streams","Stream Beat","No Streams"
76,76,0,6b956b956b956b95,ff,0,1,1,0,0000000000000000,00,0,0,0,aef1aef1aef1aef1,ff,0,1,1,0,0000000000000000,00,0,0,0,"Active","Inactive","Active","Inactive","Stream Beat","No Streams","Stream Beat","No Streams"
77,77,0,6b956b956b956b95,ff,0,1,1,0,0000000000000000,00,0,0,0,aef1aef1aef1aef1,ff,0,1,1,0,0000000000000000,00,0,0,0,"Active","Inactive","Active","Inactive","Stream Beat","No Streams","Stream Beat","No Streams"
78,78,0,6b956b956b956b95,ff,0,1,1,0,0000000000000000,00,0,0,0,aef1aef1aef1aef1,ff,0,1,1,0,0000000000000000,00,0,0,0,"Active","Inactive","Active","Inactive","Stream Beat","No Streams","Stream Beat","No Streams"
79,79,0,6b956b956b956b95,ff,0,1,1,0,0000000000000000,00,0,0,0,aef1aef1aef1aef1,07,0,1,1,1,0000000000000000,00,0,0,0,"Active","Inactive","Active","Inactive","Stream Beat","No Streams","Last Stream","No Streams"
80,80,0,6b956b956b956b95,ff,0,1,1,0,0000000000000000,00,0,0,0,0000222200000000,ff,0,1,1,0,0000000000000000,00,0,0,0,"Active","Inactive","Active","Inactive","Stream Beat","No Streams","Stream Beat","No Streams"
81,81,0,6b956b956b956b95,ff,0,1,1,0,0000000000000000,00,0,0,0,aef27d0011110000,ff,0,1,1,0,0000000000000000,00,0,0,0,"Active","Inactive","Active","Inactive","Stream Beat","No Streams","Stream Beat","No Streams"
82,82,0,6b956b956b956b95,ff,0,1,1,0,0000000000000000,00,0,0,0,aef2aef2aef2aef2,ff,0,1,1,0,0000000000000000,00,0,0,0,"Active","Inactive","Active","Inactive","Stream Beat","No Streams","Stream Beat","No Streams"
83,83,0,6b956b956b956b95,1f,0,1,1,1,0000000000000000,00,0,0,0,aef2aef2aef2aef2,ff,0,1,1,0,0000000000000000,00,0,0,0,"Active","Inactive","Active","Inactive","Last Stream","No Streams","Stream Beat","No Streams"
84,84,0,0000222200000000,ff,0,1,1,0,0000000000000000,00,0,0,0,aef2aef2aef2aef2,ff,0,1,1,0,0000000000000000,00,0,0,0,"Active","Inactive","Active","Inactive","Stream Beat","No Streams","Stream Beat","No Streams"
85,85,0,6b964f0011110000,ff,0,1,1,0,0000000000000000,00,0,0,0,aef2aef2aef2aef2,ff,0,1,1,0,0000000000000000,00,0,0,0,"Active","Inactive","Active","Inactive","Stream Beat","No Streams","Stream Beat","No Streams"
86,86,0,6b966b966b966b96,ff,0,1,1,0,0000000000000000,00,0,0,0,aef2aef2aef2aef2,ff,0,1,1,0,0000000000000000,00,0,0,0,"Active","Inactive","Active","Inactive","Stream Beat","No Streams","Stream Beat","No Streams"
87,87,0,6b966b966b966b96,ff,0,1,1,0,0000000000000000,00,0,0,0,aef2aef2aef2aef2,ff,0,1,1,0,0000000000000000,00,0,0,0,"Active","Inactive","Active","Inactive","Stream Beat","No Streams","Stream Beat","No Streams"
88,88,0,6b966b966b966b96,ff,0,1,0,0,0000000000000000,00,0,0,0,aef2aef2aef2aef2,ff,0,1,1,0,0000000000000000,00,0,0,0,"_","Inactive","Active","Inactive","_","No Streams","Stream Beat","No Streams"
89,89,0,6b966b966b966b96,ff,0,1,0,0,0000000000000000,00,0,0,0,aef2aef2aef2aef2,ff,0,1,1,0,0000000000000000,00,0,0,0,"_","Inactive","Active","Inactive","_","No Streams","Stream Beat","No Streams"
