Sample in Buffer,Sample in Window,TRIGGER,mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_0_axis_tdata[63:0],mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_0_axis_tkeep[7:0],mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_0_axis_tuser,mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_0_axis_tvalid,mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_0_axis_tready,mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_0_axis_tlast,mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_1_axis_tdata[63:0],mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_1_axis_tkeep[7:0],mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_1_axis_tuser,mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_1_axis_tvalid,mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_1_axis_tlast,mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_2_axis_tdata[63:0],mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_2_axis_tkeep[7:0],mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_2_axis_tuser,mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_2_axis_tvalid,mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_2_axis_tready,mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_2_axis_tlast,mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_3_axis_tdata[63:0],mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_3_axis_tkeep[7:0],mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_3_axis_tuser,mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_3_axis_tvalid,mac_phy_wrapper_i/mac_phy_i/system_ila_mac_phy2/inst/net_slot_3_axis_tlast,Interface_(i4:s0)_(s_axis_tx_0_1)[2:0],Interface_(i4:s1)_(mac_phy_ch0_m_axis_rx)[2:0],Interface_(i4:s2)_(s_axis_tx_1_1)[2:0],Interface_(i4:s3)_(mac_phy_ch1_m_axis_rx)[2:0],T_Channel_(i4:s0)_(s_axis_tx_0_1)[2:0],T_Channel_(i4:s1)_(mac_phy_ch0_m_axis_rx)[2:0],T_Channel_(i4:s2)_(s_axis_tx_1_1)[2:0],T_Channel_(i4:s3)_(mac_phy_ch1_m_axis_rx)[2:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,9cbb9cbb9cbb9cbb,ff,0,1,1,0,0000000000000000,01,0,0,0,6c496c496c496c49,ff,0,1,1,0,0000070000000078,1f,0,0,0,"_","Inactive","_","Inactive","_","No Streams","_","No Streams"
1,1,0,9cbb9cbb9cbb9cbb,ff,0,1,1,0,0000000000000000,01,0,0,0,6c496c496c496c49,07,0,1,1,1,0000070000000078,1f,0,0,0,"Active","Inactive","Active","Inactive","Stream Beat","No Streams","Last Stream","No Streams"
2,2,0,9cbb9cbb9cbb9cbb,ff,0,1,1,0,0000000000000000,01,0,0,0,0000222200000000,ff,0,1,1,0,0000070000000078,1f,0,0,0,"Active","Inactive","Active","Inactive","Stream Beat","No Streams","Stream Beat","No Streams"
3,3,0,9cbb9cbb9cbb9cbb,ff,0,1,1,0,0000000000000000,01,0,0,0,6c4a7d0011110000,ff,0,1,1,0,0000070000000078,1f,0,0,0,"Active","Inactive","Active","Inactive","Stream Beat","No Streams","Stream Beat","No Streams"
4,4,0,9cbb9cbb9cbb9cbb,1f,0,1,1,1,0000000000000000,01,0,0,0,6c4a6c4a6c4a6c4a,ff,0,1,1,0,0000070000000078,1f,0,0,0,"Active","Inactive","Active","Inactive","Last Stream","No Streams","Stream Beat","No Streams"
5,5,0,0000222200000000,ff,0,1,1,0,0000000000000000,01,0,0,0,6c4a6c4a6c4a6c4a,ff,0,1,1,0,0000070000000078,1f,0,0,0,"Active","Inactive","Active","Inactive","Stream Beat","No Streams","Stream Beat","No Streams"
6,6,0,9cbc4f0011110000,ff,0,1,1,0,0000000000000000,01,0,0,0,6c4a6c4a6c4a6c4a,ff,0,1,0,0,0000070000000078,1f,0,0,0,"Active","Inactive","_","Inactive","Stream Beat","No Streams","_","No Streams"
7,7,0,9cbc9cbc9cbc9cbc,ff,0,1,1,0,0000000000000000,01,0,0,0,6c4a6c4a6c4a6c4a,ff,0,1,0,0,0000070000000078,1f,0,0,0,"Active","Inactive","_","Inactive","Stream Beat","No Streams","_","No Streams"
8,8,0,9cbc9cbc9cbc9cbc,ff,0,1,1,0,0000000000000000,01,0,0,0,6c4a6c4a6c4a6c4a,ff,0,1,0,0,0000070000000078,1f,0,0,0,"Active","Inactive","_","Inactive","Stream Beat","No Streams","_","No Streams"
9,9,0,9cbc9cbc9cbc9cbc,ff,0,1,0,0,0000000000000000,01,0,0,0,6c4a6c4a6c4a6c4a,ff,0,1,1,0,0000070000000078,1f,0,0,0,"_","Inactive","Active","Inactive","_","No Streams","Stream Beat","No Streams"
